Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-7100.222	-7510.513	410.2907	1.307921	6.428564	0.609048	0.390952	4.977221
6	-7097.35	-7508.341	410.9909	1.435604	5.503714	0.56348	0.43652	4.640548
12	-7079.111	-7489.896	410.7853	1.436939	5.503714	0.56348	0.43652	4.754824
18	-7083.66	-7494.105	410.4451	1.341009	5.623183	0.600548	0.399452	4.980775
24	-7085.513	-7494.747	409.234	1.373183	5.623183	0.548693	0.451307	5.631637
30	-7083.702	-7493.869	410.167	1.493773	5.595542	0.565294	0.434706	5.054264
36	-7108.127	-7519.827	411.6998	1.536262	5.925232	0.538259	0.461741	4.123745
42	-7103.639	-7515.538	411.8983	1.371064	5.557972	0.596469	0.403531	4.157106
48	-7105.888	-7517.209	411.3205	1.530245	4.923193	0.632446	0.367554	4.490702
54	-7095.191	-7505.956	410.7652	1.462507	5.431881	0.60767	0.39233	4.762257
60	-7090.951	-7502.373	411.4218	1.474156	4.748275	0.602329	0.397671	4.493647
66	-7096.19	-7506.765	410.575	1.482605	4.941993	0.611544	0.388456	4.931405
72	-7076.165	-7487.008	410.843	1.469354	5.14559	0.644326	0.355674	4.7578
78	-7088.496	-7500.346	411.8497	1.62793	4.819537	0.644326	0.355674	4.153021
84	-7083.385	-7494.593	411.2081	1.48104	5.099704	0.634294	0.365706	4.553808
90	-7087.791	-7498.007	410.2151	1.416937	6.224553	0.634294	0.365706	4.984816
96	-7087.205	-7497.696	410.4909	1.531728	6.224553	0.568194	0.431806	4.767186
102	-7102.637	-7512.102	409.4647	1.468052	7.248588	0.488181	0.511819	5.247772
108	-7098.805	-7508.179	409.3738	1.391987	5.921324	0.559934	0.440066	5.503679
114	-7104.484	-7514.855	410.3712	1.348821	5.706231	0.58768	0.41232	5.005781
120	-7093.634	-7503.772	410.1381	1.466745	4.387015	0.594254	0.405746	5.273831
126	-7086.167	-7497.076	410.9094	1.455003	5.407976	0.569311	0.430689	4.689278
132	-7092.854	-7503.755	410.9015	1.38081	5.727706	0.600388	0.399612	4.689278
138	-7095.448	-7507.261	411.8135	1.557017	6.114704	0.618954	0.381046	4.021132
144	-7100.685	-7512.575	411.8904	1.600705	5.465026	0.524155	0.475845	4.044535
150	-7092.886	-7505.457	412.5715	1.628379	4.864939	0.677213	0.322787	3.731935
156	-7105.128	-7518.646	413.5182	1.754644	5.125273	0.659661	0.340339	3.059557
162	-7091.782	-7503.776	411.9939	1.566736	5.16101	0.65353	0.34647	4.051145
168	-7070.558	-7482.325	411.767	1.447583	5.245289	0.649216	0.350784	4.234916
174	-7089.08	-7500.423	411.343	1.363675	4.987055	0.55878	0.44122	4.561556
180	-7103.038	-7513.707	410.6692	1.518768	6.570899	0.629547	0.370453	4.630327
186	-7119.406	-7531.309	411.9027	1.643446	4.916908	0.629547	0.370453	4.098188
192	-7104.271	-7517.263	412.9925	1.638017	6.529921	0.681208	0.318792	3.234245
198	-7096.528	-7508.994	412.4662	1.579435	5.430143	0.691788	0.308212	3.731574
204	-7095.949	-7508.57	412.6211	1.535449	5.513377	0.550016	0.449984	3.654854
210	-7071.053	-7482.609	411.5563	1.474881	5.455773	0.592372	0.407628	4.307179
216	-7074.343	-7484.988	410.6449	1.474616	5.648757	0.610341	0.389659	4.791437
222	-7096.862	-7508.04	411.1789	1.692392	5.609353	0.529675	0.470325	4.375084
228	-7114.094	-7525.486	411.3927	1.556193	5.609353	0.557237	0.442763	4.331295
234	-7114.903	-7526.085	411.182	1.559134	5.977735	0.567085	0.432915	4.396903
240	-7091.707	-7502.06	410.3536	1.429979	5.555019	0.567085	0.432915	4.99184
246	-7095.919	-7504.567	408.6477	1.265399	5.557378	0.584573	0.415427	6.020492
252	-7088.567	-7498.437	409.8697	1.31292	5.999979	0.566923	0.433077	5.263393
258	-7088.338	-7498.336	409.9981	1.325581	5.334687	0.602866	0.397134	5.27854
264	-7093.918	-7503.92	410.0016	1.415005	6.103066	0.538587	0.461413	5.1203
270	-7090.462	-7501.64	411.1778	1.397988	4.645424	0.607636	0.392364	4.690357
